# Format: <GenBank accession> [# <documentation on reason for inclusion>]
accession # clade_membership literature_source
AB447406 # GI.P1 2025cdc
EU085529 # GI.P1 2025cdc
L23828 # GI.P1 2025cdc
M87661 # GI.P1 2019chhabra;2025cdc
FJ515294 # GI.P2 2025cdc
L07418 # GI.P2 2019chhabra;2025cdc
AY038598 # GI.P3 2019chhabra;2025cdc
JX846929 # GI.P3 2025cdc
KJ196292 # GI.P3 2025cdc
AB042808 # GI.P4 2019chhabra;2025cdc
AJ313030 # GI.P4 2025cdc
GQ856475 # GI.P4 2025cdc
LN854563 # GI.P4 2025cdc
AF414406 # GI.P5 2025cdc
KJ402295 # GI.P5 2019chhabra;2025cdc
AF093797 # GI.P6 2019chhabra;2025cdc
KP027330 # GI.P6 2025cdc
JN603251 # GI.P7 2019chhabra;2025cdc
JN899243 # GI.P7 2025cdc
KU311161 # GI.P7 2025cdc
AB290150 # GI.P8 2025cdc
GU299761 # GI.P8 2025cdc
KJ196298 # GI.P8 2019chhabra;2025cdc
HQ637267 # GI.P9 2025cdc
JN183159 # GI.P9 2025cdc
KF586507 # GI.P9 2019chhabra;2025cdc
GQ856473 # GI.P10 2025cdc
U04469 # GI.P10 2019chhabra;2025cdc
AB354289 # GI.P11 2025cdc
GQ856463 # GI.P11 2019chhabra;2025cdc
GQ856464 # GI.P11 2025cdc
AB039774 # GI.P12 2019chhabra;2025cdc
MH443711 # GI.P12 2025cdc
EF529738 # GI.P13 2019chhabra;2025cdc
GQ856470 # GI.P13 2025cdc
GQ856471 # GI.P13 2025cdc
GQ856472 # GI.P13 2025cdc
AB187514 # GI.P14 2019chhabra;2025cdc
KM289169 # GI.P14 2025cdc
AB081723 # GI.PNA1 2019chhabra;2025cdc
FJ383816 # GI.PNA2 2025cdc
MH130046 # GI.PNA2 2019chhabra;2025cdc
AB447414 # GI.PNA3 2019chhabra;2025cdc
LC342057 # GI.PNA4 2019chhabra;2025cdc
U07611 # GII.P1 2019chhabra;2025cdc
DQ456824 # GII.P2 2025cdc
X81879 # GII.P2 2019chhabra;2025cdc
KJ194500 # GII.P3 2025cdc
U02030 # GII.P3 2019chhabra;2025cdc
U22498 # GII.P3 2025cdc
X76716 # GII.P4.Bristol 2019chhabra;2025cdc
HM748973 # GII.P4.Apeldoorn_2008 2025cdc
AB541348 # GII.P4.DenHaag_2006 2025cdc
EF126965 # GII.P4.DenHaag_2006 2025cdc
AY485642 # GII.P4.FarmingtonHills_2002 2025cdc
